INDEX,FLIGHTDATE,FLIGHTNO,DEST,DEST_STATION,DESTOBSERVATIONTIME,STATION,DATE,REPORT_TYPE,DEST_UA_OBS,VIS_METERS
42,20180108,262,IAD,72403093738,2018-01-09 11:52:00+00:00,72403093738,2018-01-09 11:52:00+00:00,FM-15,MET16101/09/18 06:52:02 METAR KIAD 091152Z 17003KT 1/8SM R01R/0700V1000FT FZFG VV001 M03/M03 A3020 RMK AO2 SLP231 70005 I1000 I6002 T10331033 10017 21056 53018 $ (MJL),201
41,20180108,860,IAD,72403093738,2018-01-09 11:52:00+00:00,72403093738,2018-01-09 11:52:00+00:00,FM-15,MET16101/09/18 06:52:02 METAR KIAD 091152Z 17003KT 1/8SM R01R/0700V1000FT FZFG VV001 M03/M03 A3020 RMK AO2 SLP231 70005 I1000 I6002 T10331033 10017 21056 53018 $ (MJL),201
46,20180109,1504,DCA,72405013743,2018-01-09 14:01:00+00:00,72405013743,2018-01-09 14:01:00+00:00,FM-16,MET12001/09/18 09:01:02 SPECI KDCA 091401Z 17010KT 1/8SM R01/0800V1000FT FZFG VV002 M01/M01 A3025 RMK AO2 I1000 T10061006 (RS),201
51,20180109,771,DFW,72259003927,2018-01-09 15:53:00+00:00,72259003927,2018-01-09 15:53:00+00:00,FM-15,MET12801/09/18 09:53:02 METAR KDFW 091553Z 16006KT 0SM R17C/1200V1600FT FG VV001 06/06 A3014 RMK AO2 SFC VIS 1/4 SLP207 T00610056 (NJ),0
50,20180109,217,DFW,72259003927,2018-01-09 17:15:00+00:00,72259003927,2018-01-09 17:15:00+00:00,FM-16,MET12701/09/18 11:15:02 SPECI KDFW 091715Z 16003KT 1/4SM R17C/5500VP6000FT BR OVC002 07/06 A3015 RMK AO2 SFC VIS 1 1/2 T00720061 (NJ),402
47,20180109,2393,YYC,71877099999,2018-01-09 18:00:00+00:00,71877099999,2018-01-09 18:00:00+00:00,FM-15,MET119METAR CYYC 091800Z 35018KT 1/8SM R35L/2000FT/N R29/3000V4500FT/N R35R/2000FT/N FZFG VV002 M08/M10 A2945 RMK FG8 SLP029=,201
48,20180109,2085,MSY,72231012916,2018-01-10 03:53:00+00:00,72231012916,2018-01-10 03:53:00+00:00,FM-15,MET06001/09/18 21:53:02 METAR KMSY 100353Z 06003KT 1/8SM RVRNO RMK,201
45,20180109,255,GEG,72785024157,2018-01-10 04:53:00+00:00,72785024157,2018-01-10 04:53:00+00:00,FM-15,MET13101/09/18 20:53:02 METAR KGEG 100453Z 22012KT 1/4SM R21/P6000FT BR OVC002 00/00 A2960 RMK AO2 SFC VIS 2 DZE52 SLP036 P0000 T00000000,402
49,20180109,52,ZRH,06670099999,2018-01-10 06:20:00+00:00,06670099999,2018-01-10 06:20:00+00:00,FM-15,MET123METAR LSZH 100620Z 34003KT 0400 R14/0700N R16/0900D R28/P2000N R34/P2000N PRFG SCT001 SCT220 M01/M01 Q1014 TEMPO 0300 FZFG=,400
53,20180109,134,ZRH,06670099999,2018-01-10 07:20:00+00:00,06670099999,2018-01-10 07:20:00+00:00,FM-15,MET119METAR LSZH 100720Z 32004KT 0300 R14/0450N R16/0350D R28/0600N R34/0700D FZFG VV001 M01/M01 Q1014 TEMPO 0200 FZFG VV001=,300
